NSPID,NUMACC,LUMACC,AVEACC,NUMRT,LUMRT,AVERT,NUMIE,LUMIE,rITG,lITG,rMOG,lMOG,raIPS,laIPS,rpIPS,lpIPS,rPM,lPM,rinsula,linsula,rIFG,lIFG,ACC,group1,RES_1,group2,RES_2,RES_3
S0001,0.916666667,0.931034483,0.923728814,0.854610846,0.700578452,0.77830122,0.932302741,0.752473152,2.4611094,1.869432807,2.054340839,2.052115679,2.179503202,1.978851318,2.158231974,2.081229448,1.972315311,0,0,1.716531754,2.254620075,1.834092975,1.882678509,0, ,1,0.037121546,0.037260517
S0004,0.813559322,0.982758621,0.897435897,0.776450987,0.740418731,0.756890619,0.954387672,0.753408533,2.353293419,2.463559151,2.55300045,2.403127432,2.799333811,2.317271471,2.712921858,2.271036386,2.258459806,2.113518715,2.330671072,2.551296711,2.907100916,2.508673668,2.363018274,0, ,1,-0.097711622,-0.095802048
S0006,0.86440678,0.896551724,0.88034188,0.941108764,0.877500428,0.908995818,1.088733668,0.978750478,2.4799757,2.492059708,2.562573671,2.7745049,2.574340343,2.519001961,2.222879171,2.065658569,0,0,2.183298111,0,2.422712564,0,1.892646313,1,0.004241989,0, ,0.004970776
S0007,0.933333333,0.846153846,0.892857143,1.287077419,0.732560961,1.043090178,1.379011521,0.865753863,2.385039091,3.428144932,3.264663696,2.832877636,3.024574995,3.338421106,4.186462402,4.058758259,2.715645075,3.522567272,2.68219471,3.165282726,2.859367609,3.287505388,2.794880867,1,0.100742219,0, ,0.103084466
S0008,0.86440678,0.983333333,0.924369748,0.929304165,0.883614283,0.904797774,1.075077367,0.898590797,2.159568071,2.179800034,2.579090595,2.325926065,2.641620398,0.069556743,3.208033323,0.26219967,0,0,2.60525918,0,2.44512248,2.448622227,2.640400171,0, ,1,-0.047216673,-0.045287425
S0012,0.883333333,0.964912281,0.923076923,0.861216171,0.77994433,0.819827734,0.974961703,0.808305942,2.296751738,1.898445606,1.878295422,2.04729104,2.226910114,2.100523472,2.092127562,1.994561076,2.052128792,1.883370161,0,0,1.918584585,0,1.770155311,0, ,1,-0.016991275,-0.01569261
S0014,0.949152542,1,0.973913043,0.795557102,0.797516477,0.796536789,0.838176233,0.797516477,2.530118465,2.028540373,2.743412018,2.039382935,2.730644703,2.983972549,2.888016224,2.70086503,3.298533916,2.684991598,2.29200983,2.062171698,2.331006765,2.608508825,2.312255621,1,0.03238915,0, ,0.029806099
S0017,0.9,1,0.949152542,0.894174517,0.857133032,0.87499232,0.993527241,0.857133032,3.118523598,2.299299002,2.429186344,2.291089773,2.715867758,2.05896759,2.825326204,0,2.189105034,0,2.115573406,0,2.055952311,0,2.259829521,1,-0.016763392,0, ,-0.019346443
S0019,0.933333333,1,0.964912281,0.954048795,0.916846163,0.935785685,1.022195138,0.916846163,2.302729368,0,2.101086378,2.128673077,2.325802088,2.040117741,2.627153873,2.11253643,2.416780233,2.055732489,2.218672037,2.036257029,2.135526657,1.824864626,1.861006379,0, ,1,0.011487114,0.01398689
S0020,0.883333333,0.98245614,0.931623932,1.043005221,0.890506135,0.964657067,1.180760628,0.906408031,0,0,2.22096467,2.348516941,2.087391376,2.293836355,2.425641298,2.107723475,0,2.171022892,0,0,2.032100439,2.103275537,1.879302144,0, ,1,-0.02775208,-0.02585286
S0023,0.982142857,1,0.99122807,0.811013257,0.745207141,0.777236666,0.825758953,0.745207141,2.091621161,2.188399792,2.566732168,2.555913925,2.246957064,2.251391411,2.878158331,2.588484287,2.257930756,2.246446848,2.210591078,2.149563074,2.006458998,0,2.10333848,0, ,1,0.060296638,0.062796414
S0025,0.910714286,0.982142857,0.946428571,1.018568962,0.920164542,0.967510065,1.118428664,0.936894807,0,0,2.441953897,0,1.88418889,1.966909766,2.190123796,2.176940918,1.79165256,0,0,0,2.256213903,0,0,0, ,1,-0.00017897,0.001709526
S0027,0.814814815,0.839285714,0.827272727,0.873130401,0.762559612,0.816022411,1.071569128,0.908581666,1.936505914,1.829778433,1.756971598,0,1.984520793,0,1.882803798,0,0,0,2.043226719,2.290817261,1.754092336,0,2.192388058,1,-0.014018608,0, ,-0.011456481
S0029,0.966101695,0.95,0.957983193,0.991797753,0.995894171,0.993845962,1.026597674,1.048309654,1.850097656,2.563141823,1.914142251,0,0,2.507724285,1.792212725,0,0,0,1.934636354,2.032347679,0,2.089058638,1.87833488,1,0.076694293,0, ,0.075711964
S0031,0.965517241,1,0.982608696,0.880743782,0.871011141,0.875834397,0.912198917,0.871011141,2.988439083,2.791407108,3.25266099,3.182275057,2.864439726,3.229394436,3.545188665,3.561279535,3.100766897,3.070055485,2.670020103,2.93240428,2.713340521,2.911606789,2.945945024,1,0.048753849,0, ,0.046170798
S0034,0.830188679,0.981818182,0.907407407,0.924799536,0.898903232,0.910530144,1.113963078,0.915549588,0,0,2.259921312,0,0,0,2.43655014,0,1.926715016,0,0,0,1.979530096,0,1.902715325,0, ,1,-0.080505432,-0.07862805
S0035,0.881355932,0.912280702,0.896551724,0.953387616,0.850388521,0.901888069,1.081728257,0.932156648,2.094867945,2.119670153,2.247409821,2.061262608,1.960016489,2.059970617,2.196638346,2.041847944,2.429286957,1.922809958,2.476391315,2.492655516,2.161438465,2.064643145,2.411555052,0, ,1,0.013313741,0.012810739
S0036,0.9,0.931034483,0.915254237,0.914,0.773481481,0.843740741,1.015555556,0.830776405,2.160746098,0,2.078048468,2.318086863,2.360282421,2.311051369,2.368901253,1.94382751,0,1.856722832,0,0,0,0,0,1,0.020969008,0, ,0.02059385
S0037,0.93220339,1,0.966101695,0.862898612,0.840439447,0.851275009,0.925654875,0.840439447,2.713800192,2.079957247,2.743736029,2.377305984,2.562554121,2.325527668,2.61514616,2.34800601,2.186047792,2.178256989,2.287347555,2.320252895,2.37343502,1.991658211,2.208987474,0, ,1,0.010357171,0.012856947
S0038,0.85,0.982758621,0.915254237,1.064958281,0.913990122,0.985280642,1.252892095,0.930025036,2.150702715,2.055980206,2.034992456,1.873891354,1.961990356,0,2.145305157,1.794774771,0,0,1.835906267,2.166498184,1.997356415,1.761406302,1.850003004,0, ,1,-0.061270944,-0.05936137
S0040,0.796610169,0.9,0.848739496,0.995233403,0.893027944,0.9405889,1.249335549,0.992253271,2.105125427,2.0391047,2.138261557,1.779714465,2.093501091,0,1.960279942,1.777274728,1.88045454,0,0,0,1.756489754,0,1.868507862,1,-0.065441242,0, ,-0.064822849
S0046,0.915254237,0.966101695,0.940677966,0.720342845,0.708588034,0.714306591,0.787041257,0.733450772,2.00547266,2.30317378,2.48137641,1.934583068,1.775228381,2.005764246,2.130814791,2.206904888,2.399038553,2.232382298,2.079106092,2.355714798,2.045207739,2.17057395,2.185596228,1,0.017037279,0, ,0.015539463
S0047,0.796610169,0.982758621,0.888888889,0.936784823,0.820801641,0.873217117,1.175963927,0.83520167,2.644779921,1.791794181,2.380153418,2.170291424,2.541646719,2.134452343,2.473249435,2.26141715,2.491175413,2.233370543,2.651798725,2.217265368,2.62776351,2.404887438,2.244327307,0, ,1,-0.114660775,-0.112751201
S0049,0.981818182,1,0.991150442,1.054896513,0.945493845,0.99824156,1.074431633,0.945493845,1.974338055,1.996157527,2.061493874,1.994067669,2.075694799,2.457634926,2.34279871,1.941359758,0,0,0,0,0,0,0,1,0.06505479,0, ,0.062471739
S0051,0.93220339,0.982758621,0.957264957,1.030713392,0.901793668,0.965102461,1.105674366,0.917614609,3.004876137,2.616152048,2.736387253,2.132538557,3.119801521,2.847020864,3.043477774,2.84326601,2.661124945,2.355256557,2.019552708,2.716936588,2.362107754,2.70555377,2.665954828,1,0.024873098,0, ,0.02284202
S0052,0.892857143,0.943396226,0.917431193,0.731523779,0.757219702,0.74437174,0.819306632,0.802652884,1.944334865,1.989273429,1.949231505,0,1.950662494,0,1.819976687,0,1.7177701,0,0,0,0,0,0,0, ,1,0.00572975,0.006291884
S0053,0.913793103,0.983050847,0.948717949,0.883494816,0.804049425,0.84198281,0.966843384,0.817912347,2.276329756,2.50390029,2.628218651,2.486615896,2.22413373,2.023085356,2.205626011,2.033003569,0,0,2.111046076,2.234201193,1.94747293,0,2.040002823,0, ,1,0.002342917,0.004262495
S0056,0.883333333,0.915254237,0.899159664,0.943550383,0.887613973,0.915320793,1.068170245,0.969800452,2.200291872,2.25136137,2.351137877,2.221999645,2.731022596,2.287160397,2.950664759,2.353437424,1.939692497,0,0,0,0,0,0,1,0.012936027,0, ,0.013066064
S0059,0.913793103,1,0.955357143,0.986596459,0.826104636,0.905600586,1.079671597,0.826104636,2.617809772,2.3081038,2.231779099,2.23348093,2.322203159,1.904583931,2.167796373,2.060559511,2.07683897,0,2.116021633,1.765113115,2.184965134,0,2.031327248,1,-0.002970289,0, ,-0.00555334
S0068,0.964285714,0.912280702,0.938053097,0.82624035,0.724335854,0.776249465,0.856841845,0.793983532,2.140171766,2.078225374,1.863771319,1.910563827,2.984401941,2.38377285,2.489282846,2.219996452,0,0,1.932264805,1.891076446,2.352383614,2.104814529,2.331592321,0, ,1,0.096243523,0.095740521
S0069,0.929824561,0.93220339,0.931034483,0.770246265,0.725044555,0.747226875,0.828378059,0.777775068,2.475752354,2.369482994,2.36261797,1.945223689,2.12201786,1.88353014,2.712301493,2.136084557,2.277401686,2.000498533,1.795625329,1.710448861,2.526652336,1.929524302,1.868868947,0, ,1,0.049562472,0.049741457
S0070,0.944444444,1,0.972477064,0.906535105,0.897833723,0.902020237,0.9598607,0.897833723,2.5952034,2.324476004,2.181726694,1.981934071,2.200381041,0,2.414027214,1.935413003,2.13300848,1.804273248,2.042001486,2.033473969,2.478151321,2.206460238,2.028478861,1,0.027681052,0, ,0.025098001
S0074,0.898305085,1,0.949579832,1.202598937,1.06105391,1.127442285,1.338742213,1.06105391,2.233272791,2.515944958,2.231835604,2.218921661,2.3966887,2.181761503,2.370894909,2.380365133,2.599746466,2.227613926,2.249400377,2.397325993,2.234529972,2.131463289,2.393175602,1,-0.018458307,0, ,-0.021041358
S0076,0.86440678,0.965517241,0.914529915,0.940236846,0.823185969,0.878976574,1.087724978,0.852585468,2.044329166,1.793828964,2.131940842,0,1.873643637,1.975035906,2.185004711,1.747207999,1.952209353,2.015734911,2.46459651,2.193533659,1.830906034,2.183278799,2.236888647,1,-0.033490411,0, ,-0.034969516
S0077,0.816666667,0.821428571,0.818965517,0.972845308,0.874288784,0.925123202,1.191239152,1.064351564,1.850577474,1.919241786,0,1.830676913,1.947955847,1.746001959,0,0,0,0,0,1.814089417,0,0,0,1,-0.002396759,0, ,0.000737054
S0079,0.949152542,1,0.974576271,0.955319697,0.868439276,0.910746264,1.006497538,0.868439276,2.778904915,2.306680679,2.52541256,2.111183167,2.492765903,0,2.36774826,2.16003871,2.3234725,2.145205021,2.037839174,2.097842932,2.630241394,2.12608695,2.291805983,1,0.03238915,0, ,0.029806099
S0081,0.883333333,0.982758621,0.93220339,0.954082112,0.774846664,0.861205561,1.080092957,0.788440465,2.24677825,2.382246971,1.937075615,2.073662043,2.04031682,1.959963799,2.047427177,1.980394006,1.912219524,0,2.015805483,2.220318556,2.184975863,2.2570436,2.116779327,1,-0.023996959,0, ,-0.026028037
S0084,0.813559322,1,0.903508772,0.975100991,0.879985563,0.9243112,1.198561635,0.879985563,2.01772666,1.99877584,0,0,1.996118903,1.967456341,2.086076498,1.847298384,1.741219878,1.860095024,2.502591848,2.084946632,2.052508593,2.084848881,2.23387146,0, ,1,-0.108286897,-0.105787121
S0085,0.881355932,0.966101695,0.923728814,1.064931008,1.043812864,1.053887575,1.208287106,1.080437877,2.405902624,1.853405476,2.449815989,1.967004776,2.277468443,1.984671474,2.500486374,2.05134511,2.078099489,1.939310551,2.105333805,2.244931936,2.208450079,0,2.32930851,1,-0.016861026,0, ,-0.018358842
S0091,0.847457627,0.966101695,0.906779661,0.807232326,0.750057619,0.776774772,0.952534145,0.77637543,2.838380575,2.312961817,2.175492764,2.209406376,2.5869627,2.26140666,2.391730547,2.091798544,0,0,0,0,2.169028759,2.264070749,1.887419224,1,-0.050759331,0, ,-0.052257147
S0092,0.814814815,0.867924528,0.841121495,0.697239216,0.716341381,0.707002545,0.855702674,0.825349852,2.399778128,0,2.012703657,0,2.834875107,0,2.861602783,0,1.827071309,0,1.996375203,2.087071657,2.737384081,0,2.330685139,0, ,1,-0.026020811,-0.028042199
S0093,0.915254237,1,0.957983193,0.816374956,0.809783288,0.812905657,0.89196523,0.809783288,2.686214924,2.372157335,2.563613415,2.649627924,2.713104248,2.209157467,2.747610807,2.5488832,2.743960857,0,2.798601389,2.779436827,2.708361387,0,2.955343962,0, ,1,-0.006591982,-0.004092206
S0098,0.847457627,1,0.923728814,1.018488181,0.944223409,0.978289818,1.201816054,0.944223409,2.668132782,2.05425024,1.916767001,0,2.38003397,2.451585054,2.266580582,2.270519257,0,1.868423104,2.066099167,2.312073946,1.962791204,2.394619942,2.423154593,1,-0.069305765,0, ,-0.071888816
S0099,0.916666667,0.966666667,0.941666667,1.070057529,1.035166802,1.052149014,1.167335486,1.070862209,2.25142169,1.978717327,2.084822416,0,1.759126306,2.173475981,1.94663763,1.844422221,0,0,0,0,1.844164848,0,1.772451401,0, ,1,0.015265979,0.016624699
S0108,0.929824561,1,0.965811966,0.875970183,0.81854492,0.845478893,0.942081141,0.81854492,2.487325668,2.060833931,2.190426111,2.178951263,2.630606413,2.449167252,2.990509272,2.268085718,2.041298389,2.045876026,1.946239352,2.351423264,0,2.223579168,2.331163168,0, ,1,0.007978342,0.010478118
S0109,0.95,1,0.974576271,1.005935388,0.953683395,0.979582209,1.058879356,0.953683395,2.435517788,2.383048534,2.162965059,2.210822582,2.591922045,2.519868374,2.562958002,2.358350277,2.693553686,2.190532446,2.979315519,3.191689014,3.135216475,3.193004608,2.706027985,1,0.033236608,0, ,0.030653557
S0113,0.910714286,1,0.955752212,0.897095483,0.833998873,0.863794495,0.98504602,0.833998873,2.824392319,2.447005272,2.464920998,2.38329649,3.245020628,2.578185797,3.538300276,2.644969702,2.841140985,2.493602991,2.484955072,2.185322285,3.185174704,2.679166794,2.488181353,1,-0.006049106,0, ,-0.008632157
S0116,0.85,1,0.925,1.134127972,1.127749772,1.130680296,1.334268202,1.127749772,2.089647293,1.837207913,2.071105719,1.952605963,2.219605446,1.961551189,2.160644293,2.03329587,1.890077233,2.207766771,2.01188755,1.879873395,2.130220175,2.036788225,1.807043314,0, ,1,-0.071846219,-0.069346443
S0117,0.866666667,1,0.931623932,1.18620001,0.948531312,1.061914544,1.368692319,0.948531312,2.844624996,2.450603962,3.114136696,2.309292316,3.121534348,2.939979076,3.167175055,2.811437845,3.026128531,3.091556311,2.521582842,2.779538393,2.919929981,3.099467993,2.819099665,1,-0.050096725,0, ,-0.052679776
S0118,0.949152542,1,0.974789916,1.403267857,1.203,1.299681034,1.478442921,1.203,2.720895767,2.447713614,0,2.172486305,3.380861521,2.725270033,2.910850048,2.413317442,2.749432325,2.500683308,2.782680988,2.389111996,3.0676229,2.625875235,2.777986288,1,0.03238915,0, ,0.029806099
S0119,0.923076923,1,0.963302752,1.049084196,1.058729532,1.054320235,1.136507879,1.058729532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.911994934,0, ,1,0.001230704,0.00373048
S0120,0.931034483,0.944444444,0.9375,0.997979828,0.986260865,0.99228776,1.071904259,1.04427621,2.473149061,2.098843336,2.548583984,2.235737801,2.433120489,2.423504114,2.475363731,2.192901373,2.288665056,2.267266035,0,2.185510874,2.722643375,2.55181551,2.27857089,1,0.044666636,0, ,0.043862165
S0121,0.72,0.894736842,0.813084112,0.766436952,0.737708415,0.749596086,1.064495767,0.82449764,2.142055511,0,2.086619139,0,0,1.906351328,1.962293625,0,0,0,0,2.086604834,1.762025833,0,2.329930544,0, ,1,-0.137281385,-0.138384943
S0127,0.912280702,0.949152542,0.931034483,0.978832712,0.929851445,0.953435018,1.072951242,0.979664916,0,2.157387257,0,0,0,1.959945679,0,0,0,0,0,0,0,0,0,0, ,1,0.021622581,0.022381763
S0128,0.811320755,0.826923077,0.819047619,0.683916194,0.627878376,0.655897285,0.842966471,0.75929478,2.105926752,2.401498079,1.855917454,2.187235355,2.445809841,2.115766048,2.566281557,2.339491844,2.025993824,0,0,0,2.482324839,0,2.099219799,1,-0.010748824,0, ,-0.007790915
S0129,0.881355932,1,0.941176471,0.890227367,0.868696999,0.878693241,1.010065667,0.868696999,2.568392515,2.303383112,0,2.214862108,2.445367575,2.306153774,2.333139896,2.098708153,0,1.771165371,2.63226819,2.274994135,2.771857977,2.424747229,2.537927866,1,-0.03540746,0, ,-0.037990511
S0131,0.9,1,0.948275862,0.919072884,0.834076114,0.875801801,1.021192093,0.834076114,2.335044622,2.030761957,1.829489112,2.232530117,0,2.006854296,2.127408504,2.104458809,0,1.736871719,0,1.792248726,1.808732748,0,1.9066993,0, ,1,-0.021846219,-0.019346443
S0132,0.881355932,0.915254237,0.898305085,0.790359492,0.777575914,0.783847103,0.896754039,0.849573684,2.393855333,2.058414459,2.198493719,1.892689943,2.183771372,2.216482401,2.126430511,2.007436991,1.904223442,0,2.16418314,1.991159558,2.186592817,1.87864697,2.128179312,0, ,1,0.011489876,0.011088663
S0133,0.881355932,0.931034483,0.905982906,0.868817955,0.76668547,0.816788198,0.985774218,0.823476986,2.650379419,1.904820681,2.186439276,1.714865804,2.30189395,2.134506464,2.796648502,2.103453159,2.06726265,2.153551579,1.861720324,0,1.973187208,0,1.986828327,1,0.00232494,0, ,0.001949782
S0134,0.915254237,1,0.957627119,1.035203128,0.934253212,0.982494765,1.13105527,0.934253212,2.341446161,2.145791531,2.285883904,2.156820297,2.446672201,2.351616859,2.614406109,2.165851831,0,0,1.999568582,1.834484458,2.171934128,1.878704906,2.03324914,0, ,1,-0.006591982,-0.004092206
